"amplitude","duration"
 1.09053039550781250e+03, 1.00000000000000002e-02
 1.01703186035156250e+03, 1.07226722201032316e-02
 9.48495483398437500e+02, 1.14975699539773563e-02
 8.84591674804687500e+02, 1.23284673944206585e-02
 8.24972534179687500e+02, 1.32194114846602880e-02
 7.69381713867187500e+02, 1.41747416292680554e-02
 7.17526245117187500e+02, 1.51991108295293394e-02
 6.69186401367187500e+02, 1.62975083462064442e-02
 6.24087524414062500e+02, 1.74752840000768385e-02
 5.82028198242187500e+02, 1.87381742286038405e-02
 5.42807006835937500e+02, 2.00923300256504699e-02
 5.06240844726562500e+02, 2.15443469003188462e-02
 4.72128295898437500e+02, 2.31012970008316054e-02
 4.40322875976562500e+02, 2.47707635599171139e-02
 4.10641479492187500e+02, 2.65608778294668668e-02
 3.82974243164062500e+02, 2.84803586843580189e-02
 3.57174682617187500e+02, 3.05385550883341544e-02
 3.33114624023437500e+02, 3.27454916287772818e-02
 3.10665893554687500e+02, 3.51119173421513067e-02
 2.89736938476562500e+02, 3.76493580679246737e-02
 2.70217895507812500e+02, 4.03701725859655358e-02
 2.52017211914062500e+02, 4.32876128108305724e-02
 2.35043334960937500e+02, 4.64158883361277946e-02
 2.19223022460937500e+02, 4.97702356433211146e-02
 2.04446411132812500e+02, 5.33669923120630996e-02
 1.90676879882812500e+02, 5.72236765935021721e-02
 1.77841186523437500e+02, 6.13590727341317282e-02
 1.65866088867187500e+02, 6.57933224657568233e-02
 1.54696655273437500e+02, 7.05480231071864555e-02
 1.44296264648437500e+02, 7.56463327554629111e-02
 1.34573364257812500e+02, 8.11130830789687229e-02
 1.25509643554687500e+02, 8.69749002617783429e-02
 1.17068481445312500e+02, 9.32603346883219969e-02
 1.09194946289062500e+02, 1.00000000000000006e-01
 1.01852416992187500e+02, 1.07226722201032312e-01
 9.50042724609375000e+01, 1.14975699539773560e-01
 8.86138916015625000e+01, 1.23284673944206585e-01
 8.26446533203125000e+01, 1.32194114846602928e-01
 7.70965576171875000e+01, 1.41747416292680561e-01
 7.19146728515625000e+01, 1.51991108295293387e-01
 6.70806884765625000e+01, 1.62975083462064435e-01
 6.25762939453125000e+01, 1.74752840000768378e-01
 5.83648681640625000e+01, 1.87381742286038405e-01
 5.44464111328125000e+01, 2.00923300256504678e-01
 5.08026123046875000e+01, 2.15443469003188448e-01
 4.73785400390625000e+01, 2.31012970008316054e-01
 4.42108154296875000e+01, 2.47707635599171139e-01
 4.12445068359375000e+01, 2.65608778294668668e-01
 3.84796142578125000e+01, 2.84803586843580203e-01
 3.58978271484375000e+01, 3.05385550883341572e-01
 3.34991455078125000e+01, 3.27454916287772846e-01
 3.12469482421875000e+01, 3.51119173421513109e-01
 2.91595458984375000e+01, 3.76493580679246764e-01
 2.72186279296875000e+01, 4.03701725859655580e-01
 2.53875732421875000e+01, 4.32876128108305946e-01
 2.37030029296875000e+01, 4.64158883361277974e-01
 2.21099853515625000e+01, 4.97702356433211146e-01
 2.06451416015625000e+01, 5.33669923120630996e-01
 1.92718505859375000e+01, 5.72236765935021707e-01
 1.79901123046875000e+01, 6.13590727341317255e-01
 1.67816162109375000e+01, 6.57933224657568205e-01
 1.56646728515625000e+01, 7.05480231071864528e-01
 1.46392822265625000e+01, 7.56463327554629084e-01
 1.36688232421875000e+01, 8.11130830789687285e-01
 1.27532958984375000e+01, 8.69749002617783429e-01
 1.19110107421875000e+01, 9.32603346883219886e-01
 1.11236572265625000e+01, 1.00000000000000000e+00
 1.03912353515625000e+01, 1.07226722201032310e+00
 9.71374511718750000e+00, 1.14975699539773557e+00
 9.07287597656250000e+00, 1.23284673944206591e+00
 8.48693847656250000e+00, 1.32194114846602861e+00
 7.91931152343750000e+00, 1.41747416292680484e+00
 7.40661621093750000e+00, 1.51991108295293320e+00
 6.93054199218750000e+00, 1.62975083462064507e+00
 6.49108886718750000e+00, 1.74752840000768472e+00
 6.06994628906250000e+00, 1.87381742286038500e+00
 5.66711425781250000e+00, 2.00923300256504778e+00
 5.31921386718750000e+00, 2.15443469003188426e+00
 4.97131347656250000e+00, 2.31012970008316021e+00
 4.66003417968750000e+00, 2.47707635599171150e+00
 4.36706542968750000e+00, 2.65608778294668690e+00
 4.09240722656250000e+00, 2.84803586843580181e+00
 3.83605957031250000e+00, 3.05385550883341539e+00
 3.59802246093750000e+00, 3.27454916287772857e+00
 3.37829589843750000e+00, 3.51119173421513109e+00
 3.17687988281250000e+00, 3.76493580679246742e+00
 2.99377441406250000e+00, 4.03701725859655358e+00
 2.81066894531250000e+00, 4.32876128108305736e+00
 2.64587402343750000e+00, 4.64158883361278196e+00
 2.49938964843750000e+00, 4.97702356433211346e+00
 2.37121582031250000e+00, 5.33669923120631307e+00
 2.24304199218750000e+00, 5.72236765935021996e+00
 2.13317871093750000e+00, 6.13590727341317610e+00
 2.02331542968750000e+00, 6.57933224657568250e+00
 1.93176269531250000e+00, 7.05480231071864505e+00
 1.85852050781250000e+00, 7.56463327554629039e+00
 1.78527832031250000e+00, 8.11130830789687174e+00
 1.74865722656250000e+00, 8.69749002617783518e+00
 1.71203613281250000e+00, 9.32603346883219864e+00
 1.71203613281250000e+00, 1.00000000000000000e+01
