"amplitude","duration"
 3.68855760498046948e+03, 1.00000000000000002e-02
 3.43998331787109419e+03, 1.07226722201032316e-02
 3.20815021728515603e+03, 1.14975699539773563e-02
 2.99195180419921780e+03, 1.23284673944206585e-02
 2.79032468994140527e+03, 1.32194114846602880e-02
 2.60229170654296831e+03, 1.41747416292680554e-02
 2.42691879638671890e+03, 1.51991108295293394e-02
 2.26337249267578045e+03, 1.62975083462064442e-02
 2.11084806884765658e+03, 1.74752840000768385e-02
 1.96859827880859348e+03, 1.87381742286038405e-02
 1.83594772705078094e+03, 2.00923300256504699e-02
 1.71222101806640649e+03, 2.15443469003188462e-02
 1.59684334716796866e+03, 2.31012970008316054e-02
 1.48923990966796873e+03, 2.47707635599171139e-02
 1.38889338134765603e+03, 2.65608778294668668e-02
 1.29530080810546860e+03, 2.84803586843580189e-02
 1.20801671630859346e+03, 3.05385550883341544e-02
 1.12662437255859368e+03, 3.27454916287772818e-02
 1.05070704345703098e+03, 3.51119173421513067e-02
 9.79919846191406123e+02, 3.76493580679246737e-02
 9.13889157714843805e+02, 4.03701725859655358e-02
 8.52313205566406396e+02, 4.32876128108305724e-02
 7.94890217285156041e+02, 4.64158883361277946e-02
 7.41347160644531300e+02, 4.97702356433211146e-02
 6.91396633300781104e+02, 5.33669923120630996e-02
 6.44823083496093659e+02, 5.72236765935021721e-02
 6.01382219238281323e+02, 6.13590727341317282e-02
 5.60872858886718632e+02, 6.57933224657568233e-02
 5.23093820800781259e+02, 7.05480231071864555e-02
 4.87858293457031323e+02, 7.56463327554629111e-02
 4.54993835449218693e+02, 8.11130830789687229e-02
 4.24356745605468745e+02, 8.69749002617783429e-02
 3.95774582519531236e+02, 9.32603346883219969e-02
 3.69118015136718782e+02, 1.00000000000000006e-01
 3.44257712402343770e+02, 1.07226722201032312e-01
 3.21078713378906230e+02, 1.14975699539773560e-01
 2.99466057128906243e+02, 1.23284673944206585e-01
 2.79304782714843725e+02, 1.32194114846602928e-01
 2.60494299316406227e+02, 1.41747416292680561e-01
 2.42962756347656295e+02, 1.51991108295293387e-01
 2.26609562988281226e+02, 1.62975083462064435e-01
 2.11362868652343707e+02, 1.74752840000768378e-01
 1.97136452636718701e+02, 1.87381742286038405e-01
 1.83872834472656280e+02, 2.00923300256504678e-01
 1.71500163574218732e+02, 2.15443469003188448e-01
 1.59960959472656270e+02, 2.31012970008316054e-01
 1.49212111816406264e+02, 2.47707635599171139e-01
 1.39167399902343732e+02, 2.65608778294668668e-01
 1.29812453613281235e+02, 2.84803586843580203e-01
 1.21089792480468745e+02, 3.05385550883341572e-01
 1.12956306152343757e+02, 3.27454916287772846e-01
 1.05368884277343739e+02, 3.51119173421513109e-01
 9.82844165039062574e+01, 3.76493580679246764e-01
 9.16885327148437455e+01, 4.03701725859655580e-01
 8.55237524414062449e+01, 4.32876128108305946e-01
 7.97900756835937415e+01, 4.64158883361277974e-01
 7.44300219726562489e+01, 4.97702356433211146e-01
 6.94435913085937528e+01, 5.33669923120630996e-01
 6.47876733398437352e+01, 5.72236765935021707e-01
 6.04478979492187563e+01, 6.13590727341317255e-01
 5.63955249023437517e+01, 6.57933224657568205e-01
 5.26161840820312392e+01, 7.05480231071864528e-01
 4.90955053710937506e+01, 7.56463327554629084e-01
 4.58047485351562500e+01, 8.11130830789687285e-01
 4.27439135742187517e+01, 8.69749002617783429e-01
 3.98842602539062483e+01, 9.32603346883219886e-01
 3.72257885742187540e+01, 1.00000000000000000e+00
 3.47397583007812472e+01, 1.07226722201032310e+00
 3.24261694335937420e+01, 1.14975699539773557e+00
 3.02706518554687491e+01, 1.23284673944206591e+00
 2.82588354492187506e+01, 1.32194114846602861e+00
 2.63763500976562497e+01, 1.41747416292680484e+00
 2.46231958007812466e+01, 1.51991108295293320e+00
 2.29850024414062517e+01, 1.62975083462064507e+00
 2.14761401367187474e+01, 1.74752840000768472e+00
 2.00534985351562511e+01, 1.87381742286038500e+00
 1.87314477539062523e+01, 2.00923300256504778e+00
 1.74956176757812472e+01, 2.15443469003188426e+00
 1.63460083007812500e+01, 2.31012970008316021e+00
 1.52682495117187518e+01, 2.47707635599171150e+00
 1.42767114257812491e+01, 2.65608778294668690e+00
 1.33426538085937505e+01, 2.84803586843580181e+00
 1.24660766601562489e+01, 3.05385550883341539e+00
 1.16613500976562481e+01, 3.27454916287772857e+00
 1.09141040039062478e+01, 3.51119173421513109e+00
 1.02099682617187479e+01, 3.76493580679246742e+00
 9.56331298828124865e+00, 4.03701725859655358e+00
 8.94539794921874964e+00, 4.32876128108305736e+00
 8.38496337890624943e+00, 4.64158883361278196e+00
 7.86763916015624964e+00, 4.97702356433211346e+00
 7.37905517578125014e+00, 5.33669923120631307e+00
 6.91921142578124915e+00, 5.72236765935021996e+00
 6.50247802734375036e+00, 6.13590727341317610e+00
 6.12885498046875021e+00, 6.57933224657568250e+00
 5.76960205078125021e+00, 7.05480231071864505e+00
 5.45345947265624886e+00, 7.56463327554629039e+00
 5.18042724609374972e+00, 8.11130830789687174e+00
 4.93613525390624908e+00, 8.69749002617783518e+00
 4.74932373046874901e+00, 9.32603346883219864e+00
 4.64873291015624979e+00, 1.00000000000000000e+01
