"amplitude","duration"
 nan, 1.00000000000000002e-02
 nan, 1.07226722201032316e-02
 nan, 1.14975699539773563e-02
 nan, 1.23284673944206585e-02
 nan, 1.32194114846602880e-02
 nan, 1.41747416292680554e-02
 nan, 1.51991108295293394e-02
 nan, 1.62975083462064442e-02
 nan, 1.74752840000768385e-02
 nan, 1.87381742286038405e-02
 nan, 2.00923300256504699e-02
 nan, 2.15443469003188462e-02
 nan, 2.31012970008316054e-02
 nan, 2.47707635599171139e-02
 nan, 2.65608778294668668e-02
 nan, 2.84803586843580189e-02
 nan, 3.05385550883341544e-02
 nan, 3.27454916287772818e-02
 nan, 3.51119173421513067e-02
 nan, 3.76493580679246737e-02
 nan, 4.03701725859655358e-02
 nan, 4.32876128108305724e-02
 nan, 4.64158883361277946e-02
 nan, 4.97702356433211146e-02
 nan, 5.33669923120630996e-02
 nan, 5.72236765935021721e-02
 nan, 6.13590727341317282e-02
 nan, 6.57933224657568233e-02
 nan, 7.05480231071864555e-02
 nan, 7.56463327554629111e-02
 nan, 8.11130830789687229e-02
 nan, 8.69749002617783429e-02
 nan, 9.32603346883219969e-02
 nan, 1.00000000000000006e-01
 nan, 1.07226722201032312e-01
 nan, 1.14975699539773560e-01
 nan, 1.23284673944206585e-01
 nan, 1.32194114846602928e-01
 nan, 1.41747416292680561e-01
 4.26951336669921875e+03, 1.51991108295293387e-01
 3.94607306884765694e+03, 1.62975083462064435e-01
 3.64541267822265672e+03, 1.74752840000768378e-01
 nan, 1.87381742286038405e-01
 nan, 2.00923300256504678e-01
 nan, 2.15443469003188448e-01
 nan, 2.31012970008316054e-01
 nan, 2.47707635599171139e-01
 2.25056027587890640e+03, 2.65608778294668668e-01
 2.07578251220703169e+03, 2.84803586843580203e-01
 1.91470707763671885e+03, 3.05385550883341572e-01
 1.76643996826171883e+03, 3.27454916287772846e-01
 nan, 3.51119173421513109e-01
 nan, 3.76493580679246764e-01
 nan, 4.03701725859655580e-01
 nan, 4.32876128108305946e-01
 nan, 4.64158883361277974e-01
 1.09775943115234372e+03, 4.97702356433211146e-01
 1.01607842041015624e+03, 5.33669923120630996e-01
 9.41136823730468905e+02, 5.72236765935021707e-01
 nan, 6.13590727341317255e-01
 nan, 6.57933224657568205e-01
 nan, 7.05480231071864528e-01
 nan, 7.56463327554629084e-01
 nan, 8.11130830789687285e-01
 nan, 8.69749002617783429e-01
 5.63093518066406205e+02, 9.32603346883219886e-01
 5.25098352050781159e+02, 1.00000000000000000e+00
 4.90129045410156323e+02, 1.07226722201032310e+00
 nan, 1.14975699539773557e+00
 nan, 1.23284673944206591e+00
 nan, 1.32194114846602861e+00
 nan, 1.41747416292680484e+00
 nan, 1.51991108295293320e+00
 nan, 1.62975083462064507e+00
 nan, 1.74752840000768472e+00
 nan, 1.87381742286038500e+00
 2.76324572753906182e+02, 2.00923300256504778e+00
 2.60903005371093741e+02, 2.15443469003188426e+00
 nan, 2.31012970008316021e+00
 nan, 2.47707635599171150e+00
 nan, 2.65608778294668690e+00
 nan, 2.84803586843580181e+00
 nan, 3.05385550883341539e+00
 nan, 3.27454916287772857e+00
 nan, 3.51119173421513109e+00
 nan, 3.76493580679246742e+00
 nan, 4.03701725859655358e+00
 nan, 4.32876128108305736e+00
 nan, 4.64158883361278196e+00
 nan, 4.97702356433211346e+00
 nan, 5.33669923120631307e+00
 nan, 5.72236765935021996e+00
 nan, 6.13590727341317610e+00
 nan, 6.57933224657568250e+00
 nan, 7.05480231071864505e+00
 nan, 7.56463327554629039e+00
 nan, 8.11130830789687174e+00
 nan, 8.69749002617783518e+00
 nan, 9.32603346883219864e+00
 nan, 1.00000000000000000e+01
