"amplitude","duration"
 2.87465987548828161e+03, 1.00000000000000002e-02
 2.68092945556640643e+03, 1.07226722201032316e-02
 2.50025392822265712e+03, 1.14975699539773563e-02
 2.33176994384765567e+03, 1.23284673944206585e-02
 2.17462723388671839e+03, 1.32194114846602880e-02
 2.02808017822265629e+03, 1.41747416292680554e-02
 1.89140931884765610e+03, 1.51991108295293394e-02
 1.76396060302734350e+03, 1.62975083462064442e-02
 1.64509305908203100e+03, 1.74752840000768385e-02
 1.53423112060546896e+03, 1.87381742286038405e-02
 1.43085154541015595e+03, 2.00923300256504699e-02
 1.33443109130859352e+03, 2.15443469003188462e-02
 1.24451192138671900e+03, 2.31012970008316054e-02
 1.16064927978515584e+03, 2.47707635599171139e-02
 1.08245073486328124e+03, 2.65608778294668668e-02
 1.00951077392578122e+03, 2.84803586843580189e-02
 9.41489289550780995e+02, 3.05385550883341544e-02
 8.78059255371093741e+02, 3.27454916287772818e-02
 8.18893645019531277e+02, 3.51119173421513067e-02
 7.63717756347656405e+02, 3.76493580679246737e-02
 7.12269968261718759e+02, 4.03701725859655358e-02
 6.64275578613281368e+02, 4.32876128108305724e-02
 6.19525290527343714e+02, 4.64158883361277946e-02
 5.77796726074218668e+02, 4.97702356433211146e-02
 5.38867507324218650e+02, 5.33669923120630996e-02
 5.02567580566406264e+02, 5.72236765935021721e-02
 4.68713811035156141e+02, 6.13590727341317282e-02
 4.37149226074218745e+02, 6.57933224657568233e-02
 4.07703771972656227e+02, 7.05480231071864555e-02
 3.80246638183593745e+02, 7.56463327554629111e-02
 3.54633933105468714e+02, 8.11130830789687229e-02
 3.30761008300781214e+02, 8.69749002617783429e-02
 3.08483972167968773e+02, 9.32603346883219969e-02
 2.87711257324218650e+02, 1.00000000000000006e-01
 2.68338215332031268e+02, 1.07226722201032312e-01
 2.50273278808593773e+02, 1.14975699539773560e-01
 2.33437961425781225e+02, 1.23284673944206585e-01
 2.17714533691406245e+02, 1.32194114846602928e-01
 2.03063752441406280e+02, 1.41747416292680561e-01
 1.89407131347656275e+02, 1.51991108295293387e-01
 1.76666184082031236e+02, 1.62975083462064435e-01
 1.64775505371093743e+02, 1.74752840000768378e-01
 1.53695852050781241e+02, 1.87381742286038405e-01
 1.43361818847656195e+02, 2.00923300256504678e-01
 1.33721081542968705e+02, 2.15443469003188448e-01
 1.24721315917968752e+02, 2.31012970008316054e-01
 1.16349440917968735e+02, 2.47707635599171139e-01
 1.08526970214843743e+02, 2.65608778294668668e-01
 1.01227741699218754e+02, 2.84803586843580203e-01
 9.44386743164062636e+01, 3.05385550883341572e-01
 8.80943627929687523e+01, 3.27454916287772846e-01
 8.21817260742187585e+01, 3.51119173421513109e-01
 7.66615209960937563e+01, 3.76493580679246764e-01
 7.15206665039062415e+01, 4.03701725859655580e-01
 6.67199194335937307e+01, 4.32876128108305946e-01
 6.22461987304687483e+01, 4.64158883361277974e-01
 5.80733422851562366e+01, 4.97702356433211146e-01
 5.41882690429687486e+01, 5.33669923120630996e-01
 5.05648168945312477e+01, 5.72236765935021707e-01
 4.71768237304687545e+01, 6.13590727341317255e-01
 4.40242895507812477e+01, 6.57933224657568205e-01
 4.10810522460937548e+01, 7.05480231071864528e-01
 3.83340307617187506e+01, 7.56463327554629084e-01
 3.57832250976562420e+01, 8.11130830789687285e-01
 3.33893920898437457e+01, 8.69749002617783429e-01
 3.11656127929687514e+01, 9.32603346883219886e-01
 2.90857250976562440e+01, 1.00000000000000000e+00
 2.71497290039062449e+01, 1.07226722201032310e+00
 2.53576245117187540e+01, 1.14975699539773557e+00
 2.36701684570312523e+01, 1.23284673944206591e+00
 2.21004418945312473e+01, 1.32194114846602861e+00
 2.06353637695312493e+01, 1.41747416292680484e+00
 1.92749340820312511e+01, 1.51991108295293320e+00
 1.80060717773437489e+01, 1.62975083462064507e+00
 1.68156958007812491e+01, 1.74752840000768472e+00
 1.57038061523437502e+01, 1.87381742286038500e+00
 1.46834838867187489e+01, 2.00923300256504778e+00
 1.37154858398437494e+01, 2.15443469003188426e+00
 1.28259741210937506e+01, 2.31012970008316021e+00
 1.19887866210937517e+01, 2.47707635599171150e+00
 1.12039233398437492e+01, 2.65608778294668690e+00
 1.04844653320312506e+01, 2.84803586843580181e+00
 9.80425048828124979e+00, 3.05385550883341539e+00
 9.17635986328125064e+00, 3.27454916287772857e+00
 8.60079345703124964e+00, 3.51119173421513109e+00
 8.05138916015624950e+00, 3.76493580679246742e+00
 7.54122802734374886e+00, 4.03701725859655358e+00
 7.07031005859374950e+00, 4.32876128108305736e+00
 6.63863525390624964e+00, 4.64158883361278196e+00
 6.22004150390625021e+00, 4.97702356433211346e+00
 5.85377197265625071e+00, 5.33669923120631307e+00
 5.50058349609374986e+00, 5.72236765935021996e+00
 5.17355712890624986e+00, 6.13590727341317610e+00
 4.88577392578125114e+00, 6.57933224657568250e+00
 4.61107177734374929e+00, 7.05480231071864505e+00
 4.37561279296874872e+00, 7.56463327554629039e+00
 4.16631591796874901e+00, 8.11130830789687174e+00
 3.98318115234375014e+00, 8.69749002617783518e+00
 3.83928955078124989e+00, 9.32603346883219864e+00
 3.77388427734374954e+00, 1.00000000000000000e+01
