"amplitude","duration"
 6.60343530273437295e+02, 1.00000000000000002e-02
 6.15838549804687773e+02, 1.07226722201032316e-02
 5.74346069335937614e+02, 1.14975699539773563e-02
 5.35642504882812545e+02, 1.23284673944206585e-02
 4.99551342773437568e+02, 1.32194114846602880e-02
 4.65884301757812636e+02, 1.41747416292680554e-02
 4.34500170898437545e+02, 1.51991108295293394e-02
 4.05222436523437636e+02, 1.62975083462064442e-02
 3.77921655273437523e+02, 1.74752840000768385e-02
 3.52456616210937568e+02, 1.87381742286038405e-02
 3.28709643554687545e+02, 2.00923300256504699e-02
 3.06563061523437568e+02, 2.15443469003188462e-02
 2.85910961914062568e+02, 2.31012970008316054e-02
 2.66647436523437591e+02, 2.47707635599171139e-02
 2.48690112304687545e+02, 2.65608778294668668e-02
 2.31933081054687534e+02, 2.84803586843580189e-02
 2.16305737304687511e+02, 3.05385550883341544e-02
 2.01737475585937545e+02, 3.27454916287772818e-02
 1.88157690429687506e+02, 3.51119173421513067e-02
 1.75484008789062528e+02, 3.76493580679246737e-02
 1.63657592773437528e+02, 4.03701725859655358e-02
 1.52643139648437540e+02, 4.32876128108305724e-02
 1.42358276367187557e+02, 4.64158883361277946e-02
 1.32779467773437517e+02, 4.97702356433211146e-02
 1.23836108398437517e+02, 5.33669923120630996e-02
 1.15504663085937523e+02, 5.72236765935021721e-02
 1.07726293945312506e+02, 6.13590727341317282e-02
 1.00477465820312517e+02, 6.57933224657568233e-02
 9.37111083984374886e+01, 7.05480231071864555e-02
 8.74036865234375000e+01, 7.56463327554629111e-02
 8.15198974609375000e+01, 8.11130830789687229e-02
 7.60362060546875114e+01, 8.69749002617783429e-02
 7.09290771484375284e+01, 9.32603346883219969e-02
 6.61514404296875114e+01, 1.00000000000000006e-01
 6.17032958984375099e+01, 1.07226722201032312e-01
 5.75611083984375043e+01, 1.14975699539773560e-01
 5.36895751953125142e+01, 1.23284673944206585e-01
 5.00769287109375014e+01, 1.32194114846602928e-01
 4.67231689453125014e+01, 1.41747416292680561e-01
 4.35812255859375028e+01, 1.51991108295293387e-01
 4.06510986328125057e+01, 1.62975083462064435e-01
 3.79210205078125071e+01, 1.74752840000768378e-01
 3.53792236328125114e+01, 1.87381742286038405e-01
 3.30021728515624986e+01, 2.00923300256504678e-01
 3.07898681640625043e+01, 2.15443469003188448e-01
 2.87305419921875043e+01, 2.31012970008316054e-01
 2.68006591796875071e+01, 2.47707635599171139e-01
 2.50119873046875014e+01, 2.65608778294668668e-01
 2.33409912109375028e+01, 2.84803586843580203e-01
 2.17759033203125014e+01, 3.05385550883341572e-01
 2.03167236328125043e+01, 3.27454916287772846e-01
 1.89634521484375043e+01, 3.51119173421513109e-01
 1.76925537109375028e+01, 3.76493580679246764e-01
 1.65157958984375028e+01, 4.03701725859655580e-01
 1.54214111328125014e+01, 4.32876128108305946e-01
 1.43858642578125018e+01, 4.64158883361277974e-01
 1.34326904296875025e+01, 4.97702356433211146e-01
 1.25383544921875014e+01, 5.33669923120630996e-01
 1.17028564453125004e+01, 5.72236765935021707e-01
 1.09379638671875021e+01, 6.13590727341317255e-01
 1.02083740234375018e+01, 6.57933224657568205e-01
 9.53762207031250142e+00, 7.05480231071864528e-01
 8.90217285156250249e+00, 7.56463327554629084e-01
 8.31379394531250071e+00, 8.11130830789687285e-01
 7.77248535156250142e+00, 8.69749002617783429e-01
 7.25471191406250071e+00, 9.32603346883219886e-01
 6.78400878906250071e+00, 1.00000000000000000e+00
 6.33684082031250107e+00, 1.07226722201032310e+00
 5.92497558593750107e+00, 1.14975699539773557e+00
 5.53664550781249964e+00, 1.23284673944206591e+00
 5.18361816406249964e+00, 1.32194114846602861e+00
 4.84235839843750071e+00, 1.41747416292680484e+00
 4.53640136718750142e+00, 1.51991108295293320e+00
 4.24221191406249964e+00, 1.62975083462064507e+00
 3.97155761718750000e+00, 1.74752840000768472e+00
 3.72443847656250027e+00, 1.87381742286038500e+00
 3.48908691406250071e+00, 2.00923300256504778e+00
 3.26550292968750044e+00, 2.15443469003188426e+00
 3.06545410156250009e+00, 2.31012970008316021e+00
 2.86540527343749973e+00, 2.47707635599171150e+00
 2.68889160156250062e+00, 2.65608778294668690e+00
 2.52414550781250036e+00, 2.84803586843580181e+00
 2.37116699218750027e+00, 3.05385550883341539e+00
 2.22995605468750036e+00, 3.27454916287772857e+00
 2.10051269531250018e+00, 3.51119173421513109e+00
 1.98283691406250018e+00, 3.76493580679246742e+00
 1.86516113281250018e+00, 4.03701725859655358e+00
 1.75925292968750036e+00, 4.32876128108305736e+00
 1.66511230468750027e+00, 4.64158883361278196e+00
 1.57097167968750018e+00, 4.97702356433211346e+00
 1.48859863281250027e+00, 5.33669923120631307e+00
 1.41799316406250009e+00, 5.72236765935021996e+00
 1.34738769531250036e+00, 6.13590727341317610e+00
 1.28854980468749991e+00, 6.57933224657568250e+00
 1.22971191406250036e+00, 7.05480231071864505e+00
 1.18264160156250009e+00, 7.56463327554629039e+00
 1.14733886718750000e+00, 8.11130830789687174e+00
 1.12380371093750009e+00, 8.69749002617783518e+00
 1.11203613281250036e+00, 9.32603346883219864e+00
 1.10026855468750018e+00, 1.00000000000000000e+01
