"amplitude","duration"
 9.82415771484375000e+02, 1.00000000000000002e-02
 9.22640991210937500e+02, 1.06478597782334906e-02
 8.66510009765625000e+02, 1.13376917856922617e-02
 8.13793945312500000e+02, 1.20722152342880879e-02
 7.64273071289062500e+02, 1.28543255027353722e-02
 7.17782592773437500e+02, 1.36871055496897032e-02
 6.74111938476562500e+02, 1.45738380662977385e-02
 6.33096313476562500e+02, 1.55180184160619832e-02
 5.94580078125000000e+02, 1.65233684130273069e-02
 5.58407592773437500e+02, 1.75938509926007215e-02
 5.24432373046875000e+02, 1.87336858328346692e-02
 4.92526245117187500e+02, 1.99473659877502825e-02
 4.62561035156250000e+02, 2.12396755982669008e-02
 4.34426879882812500e+02, 2.26157087505513485e-02
 4.07995605468750000e+02, 2.40808895561239016e-02
 3.83175659179687500e+02, 2.56409935328734614e-02
 3.59866333007812500e+02, 2.73021703712628509e-02
 3.37966918945312500e+02, 2.90709681754647842e-02
 3.17413330078125000e+02, 3.09543592749837344e-02
 2.98104858398437500e+02, 3.29597677085088081e-02
 2.79968261718750000e+02, 3.50950984883350164e-02
 2.62939453125000000e+02, 3.73687687607085414e-02
 2.46945190429687500e+02, 3.97897409849256797e-02
 2.31921386718750000e+02, 4.23675582619718813e-02
 2.17813110351562500e+02, 4.51123819519614402e-02
 2.04565429687500000e+02, 4.80350317286596662e-02
 1.92123413085937500e+02, 5.11470282289765085e-02
 1.80441284179687500e+02, 5.44606384655492159e-02
 1.69464111328125000e+02, 5.79889241814237136e-02
 1.59164428710937500e+02, 6.17457933374413043e-02
 1.49487304687500000e+02, 6.57460549352858747e-02
 1.40396118164062500e+02, 7.00054773922959839e-02
 1.31854248046875000e+02, 7.45408506981462826e-02
 1.23834228515625000e+02, 7.93700525984099986e-02
 1.16308593750000000e+02, 8.45121190658886384e-02
 1.09240722656250000e+02, 8.99873193374955277e-02
 1.02593994140625000e+02, 9.58172358124771417e-02
 9.63592529296875000e+01, 1.02024849126918948e-01
 9.05090332031250000e+01, 1.08634628739886052e-01
 8.50067138671875000e+01, 1.15672629388276077e-01
 7.98431396484375000e+01, 1.23166593790593470e-01
 7.49908447265625000e+01, 1.31146062004488306e-01
 7.04315185546875000e+01, 1.39642487869130638e-01
 6.61560058593750000e+01, 1.48689362991417495e-01
 6.21368408203125000e+01, 1.58322348764747378e-01
 5.83648681640625000e+01, 1.68579416940760840e-01
 5.48217773437500000e+01, 1.79500999308158160e-01
 5.14892578125000000e+01, 1.91130147068605510e-01
 4.83673095703125000e+01, 2.03512700537965607e-01
 4.54284667968750000e+01, 2.16697469841788254e-01
 4.26727294921875000e+01, 2.30736427317334208e-01
 4.00817871093750000e+01, 2.45684912380553927e-01
 3.76464843750000000e+01, 2.61601849665571928e-01
 3.53668212890625000e+01, 2.78549981296552784e-01
 3.32244873046875000e+01, 2.96596114207525685e-01
 3.12103271484375000e+01, 3.15811383485065988e-01
 2.93151855468750000e+01, 3.36271532771890647e-01
 2.75390625000000000e+01, 3.58057212836674132e-01
 2.58728027343750000e+01, 3.81254299487001069e-01
 2.43072509765625000e+01, 4.05954232078622412e-01
 2.28332519531250000e+01, 4.32254373955362980e-01
 2.14508056640625000e+01, 4.60258396240480760e-01
 2.01507568359375000e+01, 4.90076686492326719e-01
 1.89331054687500000e+01, 5.21826783835159236e-01
 1.77886962890625000e+01, 5.55633842280333412e-01
 1.67175292968750000e+01, 5.91631124064209368e-01
 1.57104492187500000e+01, 6.29960524947436595e-01
 1.47583007812500000e+01, 6.70773133546266553e-01
 1.38702392578125000e+01, 7.14229826900693365e-01
 1.30371093750000000e+01, 7.60501904627056580e-01
 1.22497558593750000e+01, 8.09771764154839757e-01
 1.15081787109375000e+01, 8.62233619709349419e-01
 1.08215332031250000e+01, 9.18094267874385750e-01
 1.01715087890625000e+01, 9.77573902752639667e-01
 9.55810546875000000e+00, 1.04090698393705750e+00
 8.98132324218750000e+00, 1.10834316071457284e+00
 8.44116210937500000e+00, 1.18014825614528784e+00
 7.93762207031250000e+00, 1.25660531489618044e+00
 7.46154785156250000e+00, 1.33801571895974702e+00
 7.02209472656250000e+00, 1.42470037565556695e+00
 6.60095214843750000e+00, 1.51700098259770577e+00
 6.20727539062500000e+00, 1.61528137461427934e+00
 5.83190917968750000e+00, 1.71992895792850886e+00
 5.49316406250000000e+00, 1.83135623725460106e+00
 5.16357421875000000e+00, 1.95000244182802973e+00
 4.86145019531250000e+00, 2.07633525677977904e+00
 4.56848144531250000e+00, 2.21085266667935176e+00
 4.30297851562500000e+00, 2.35408491851353219e+00
 4.04663085937500000e+00, 2.50659661183863047e+00
 3.80859375000000000e+00, 2.66898892434528978e+00
 3.58886718750000000e+00, 2.84190198160868812e+00
 3.37829589843750000e+00, 3.02601738036532319e+00
 3.17687988281250000e+00, 3.22206087526273999e+00
 2.99377441406250000e+00, 3.43080523967299245e+00
 2.81982421875000000e+00, 3.65307331184667694e+00
 2.65502929687500000e+00, 3.88974123841504404e+00
 2.50854492187500000e+00, 4.14174192802556718e+00
 2.36206054687500000e+00, 4.41006872872467071e+00
 2.22473144531250000e+00, 4.69577934358327287e+00
 2.10571289062500000e+00, 5.00000000000000089e+00
