"amplitude","duration"
 2.96066805908203150e+03, 1.00000000000000002e-02
 2.78053864013671864e+03, 1.06478597782334906e-02
 2.61138080566406188e+03, 1.13376917856922617e-02
 2.45249760498046908e+03, 1.20722152342880879e-02
 2.30329986328125005e+03, 1.28543255027353722e-02
 2.16316248046874944e+03, 1.36871055496897032e-02
 2.03156094726562515e+03, 1.45738380662977385e-02
 1.90797075439453147e+03, 1.55180184160619832e-02
 1.79189613281249990e+03, 1.65233684130273069e-02
 1.68288442382812491e+03, 1.75938509926007215e-02
 1.58050452392578063e+03, 1.87336858328346692e-02
 1.48435406982421910e+03, 1.99473659877502825e-02
 1.39405225341796859e+03, 2.12396755982669008e-02
 1.30923982177734342e+03, 2.26157087505513485e-02
 1.22960063232421862e+03, 2.40808895561239016e-02
 1.15480417236328140e+03, 2.56409935328734614e-02
 1.08454866943359366e+03, 2.73021703712628509e-02
 1.01857546142578133e+03, 2.90709681754647842e-02
 9.56618701171875045e+02, 3.09543592749837344e-02
 8.98426911621093723e+02, 3.29597677085088081e-02
 8.43777355957031205e+02, 3.50950984883350164e-02
 7.92447297363281223e+02, 3.73687687607085414e-02
 7.44249924316406123e+02, 3.97897409849256797e-02
 6.98984055175781123e+02, 4.23675582619718813e-02
 6.56470063476562473e+02, 4.51123819519614402e-02
 6.16542692871093664e+02, 4.80350317286596662e-02
 5.79043872070312545e+02, 5.11470282289765085e-02
 5.43822714843749850e+02, 5.44606384655492159e-02
 5.10749890136718818e+02, 5.79889241814237136e-02
 4.79688881835937423e+02, 6.17457933374413043e-02
 4.50517543945312582e+02, 6.57460549352858747e-02
 4.23120915527343698e+02, 7.00054773922959839e-02
 3.97391220703124930e+02, 7.45408506981462826e-02
 3.73227868652343716e+02, 7.93700525984099986e-02
 3.50537453613281173e+02, 8.45121190658886384e-02
 3.29226569824218700e+02, 8.99873193374955277e-02
 3.09208996582031205e+02, 9.58172358124771417e-02
 2.90412883300781232e+02, 1.02024849126918948e-01
 2.72759194335937423e+02, 1.08634628739886052e-01
 2.56176079101562493e+02, 1.15672629388276077e-01
 2.40606057128906230e+02, 1.23166593790593470e-01
 2.25984462890625025e+02, 1.31146062004488306e-01
 2.12253815917968723e+02, 1.39642487869130638e-01
 1.99356635742187478e+02, 1.48689362991417495e-01
 1.87242626953124955e+02, 1.58322348764747378e-01
 1.75868679199218718e+02, 1.68579416940760840e-01
 1.65184497070312489e+02, 1.79500999308158160e-01
 1.55146970214843748e+02, 1.91130147068605510e-01
 1.45727358398437474e+02, 2.03512700537965607e-01
 1.36875366210937472e+02, 2.16697469841788254e-01
 1.28569438476562510e+02, 2.30736427317334208e-01
 1.20759279785156252e+02, 2.45684912380553927e-01
 1.13430520019531244e+02, 2.61601849665571928e-01
 1.06547233886718757e+02, 2.78549981296552784e-01
 1.00080681152343743e+02, 2.96596114207525685e-01
 9.40093066406249989e+01, 3.15811383485065988e-01
 8.83043701171874886e+01, 3.36271532771890647e-01
 8.29515014648437443e+01, 3.58057212836674132e-01
 7.79219604492187585e+01, 3.81254299487001069e-01
 7.32013769531249920e+01, 4.05954232078622412e-01
 6.87610107421874943e+01, 4.32254373955362980e-01
 6.46008618164062369e+01, 4.60258396240480760e-01
 6.06850048828125068e+01, 4.90076686492326719e-01
 5.70134399414062472e+01, 5.21826783835159236e-01
 5.35574267578125074e+01, 5.55633842280333412e-01
 5.03169653320312449e+01, 5.91631124064209368e-01
 4.72776855468749986e+01, 6.29960524947436595e-01
 4.44180322265625023e+01, 6.70773133546266553e-01
 4.17308203125000006e+01, 7.14229826900693365e-01
 3.92160498046874864e+01, 7.60501904627056580e-01
 3.68449804687499949e+01, 8.09771764154839757e-01
 3.46247973632812460e+01, 8.62233619709349419e-01
 3.25339453124999949e+01, 9.18094267874385750e-01
 3.05724243164062486e+01, 9.77573902752639667e-01
 2.87330493164062517e+01, 1.04090698393705750e+00
 2.70014501953124970e+01, 1.10834316071457284e+00
 2.53776269531249952e+01, 1.18014825614528784e+00
 2.38543945312500014e+01, 1.25660531489618044e+00
 2.24173828125000014e+01, 1.33801571895974702e+00
 2.10737768554687435e+01, 1.42470037565556695e+00
 1.98092065429687452e+01, 1.51700098259770577e+00
 1.86236718749999994e+01, 1.61528137461427934e+00
 1.75099877929687437e+01, 1.71992895792850886e+00
 1.64609692382812511e+01, 1.83135623725460106e+00
 1.54838012695312504e+01, 1.95000244182802973e+00
 1.45569287109374983e+01, 2.07633525677977904e+00
 1.36947216796875004e+01, 2.21085266667935176e+00
 1.28756249999999994e+01, 2.35408491851353219e+00
 1.21140087890624990e+01, 2.50659661183863047e+00
 1.13955029296874990e+01, 2.66898892434528978e+00
 1.07201074218749994e+01, 2.84190198160868812e+00
 1.00878222656250003e+01, 3.02601738036532319e+00
 9.49146240234374794e+00, 3.22206087526273999e+00
 8.93821289062499957e+00, 3.43080523967299245e+00
 8.41370361328124794e+00, 3.65307331184667694e+00
 7.91793457031250014e+00, 3.88974123841504404e+00
 7.45809082031250092e+00, 4.14174192802556718e+00
 7.02698730468750021e+00, 4.41006872872467071e+00
 6.61743896484374972e+00, 4.69577934358327287e+00
 6.23663085937499950e+00, 5.00000000000000089e+00
