"amplitude","duration"
 4.55858322509765821e+03, 1.00000000000000002e-02
 4.28122987304687558e+03, 1.06478597782334906e-02
 4.02075305419921870e+03, 1.13376917856922617e-02
 3.77612430419921884e+03, 1.20722152342880879e-02
 3.54637994384765670e+03, 1.28543255027353722e-02
 3.33061298095703160e+03, 1.36871055496897032e-02
 3.12798120849609450e+03, 1.45738380662977385e-02
 2.93766671386718735e+03, 1.55180184160619832e-02
 2.75894066406250022e+03, 1.65233684130273069e-02
 2.59109042236328105e+03, 1.75938509926007215e-02
 2.43345194091796884e+03, 1.87336858328346692e-02
 2.28540166259765692e+03, 1.99473659877502825e-02
 2.14635652099609388e+03, 2.12396755982669008e-02
 2.01577394042968717e+03, 2.26157087505513485e-02
 1.89313563964843752e+03, 2.40808895561239016e-02
 1.77796382812500019e+03, 2.56409935328734614e-02
 1.66979691162109384e+03, 2.73021703712628509e-02
 1.56820568847656295e+03, 2.90709681754647842e-02
 1.47280144775390636e+03, 3.09543592749837344e-02
 1.38320357666015661e+03, 3.29597677085088081e-02
 1.29905575683593770e+03, 3.50950984883350164e-02
 1.22002596435546866e+03, 3.73687687607085414e-02
 1.14580646972656268e+03, 3.97897409849256797e-02
 1.07610573974609406e+03, 4.23675582619718813e-02
 1.01064033935546877e+03, 4.51123819519614402e-02
 9.49159226074218850e+02, 4.80350317286596662e-02
 8.91419455566406441e+02, 5.11470282289765085e-02
 8.37194279785156368e+02, 5.44606384655492159e-02
 7.86273146972656377e+02, 5.79889241814237136e-02
 7.38445505371093759e+02, 6.17457933374413043e-02
 6.93525097656250068e+02, 6.57460549352858747e-02
 6.51341862792968868e+02, 7.00054773922959839e-02
 6.11725739746093723e+02, 7.45408506981462826e-02
 5.74514765625000109e+02, 7.93700525984099986e-02
 5.39571271972656177e+02, 8.45121190658886384e-02
 5.06757590332031214e+02, 8.99873193374955277e-02
 4.75936052246093823e+02, 9.58172358124771417e-02
 4.46985185546875016e+02, 1.02024849126918948e-01
 4.19807812500000011e+02, 1.08634628739886052e-01
 3.94274362792968759e+02, 1.15672629388276077e-01
 3.70295756835937539e+02, 1.23166593790593470e-01
 3.47782915039062459e+02, 1.31146062004488306e-01
 3.26630561523437564e+02, 1.39642487869130638e-01
 3.06773911132812486e+02, 1.48689362991417495e-01
 2.88123884277343791e+02, 1.58322348764747378e-01
 2.70607597656250050e+02, 1.68579416940760840e-01
 2.54152167968749978e+02, 1.79500999308158160e-01
 2.38700908203124982e+02, 1.91130147068605510e-01
 2.24189033203125007e+02, 2.03512700537965607e-01
 2.10567954101562492e+02, 2.16697469841788254e-01
 1.97764787597656294e+02, 2.30736427317334208e-01
 1.85747141113281259e+02, 2.45684912380553927e-01
 1.74458327636718764e+02, 2.61601849665571928e-01
 1.63857856445312507e+02, 2.78549981296552784e-01
 1.53905236816406244e+02, 2.96596114207525685e-01
 1.44551879882812528e+02, 3.15811383485065988e-01
 1.35773491210937522e+02, 3.36271532771890647e-01
 1.27521481933593748e+02, 3.58057212836674132e-01
 1.19779655761718757e+02, 3.81254299487001069e-01
 1.12507521972656235e+02, 4.05954232078622412e-01
 1.05672687988281254e+02, 4.32254373955362980e-01
 9.92589575195312506e+01, 4.60258396240480760e-01
 9.32339379882812551e+01, 4.90076686492326719e-01
 8.75733349609375011e+01, 5.21826783835159236e-01
 8.22609521484375250e+01, 5.55633842280333412e-01
 7.72724951171875034e+01, 5.91631124064209368e-01
 7.25836694335937693e+01, 6.29960524947436595e-01
 6.81782788085937597e+01, 6.70773133546266553e-01
 6.40482250976562568e+01, 7.14229826900693365e-01
 6.01692138671875014e+01, 7.60501904627056580e-01
 5.65169506835937483e+01, 8.09771764154839757e-01
 5.30914355468750045e+01, 8.62233619709349419e-01
 4.98764721679687568e+01, 9.18094267874385750e-01
 4.68558642578125060e+01, 9.77573902752639667e-01
 4.40215136718749989e+01, 1.04090698393705750e+00
 4.13572241210937577e+01, 1.10834316071457284e+00
 3.88548974609375009e+01, 1.18014825614528784e+00
 3.65064355468750108e+01, 1.25660531489618044e+00
 3.43037402343749989e+01, 1.33801571895974702e+00
 3.22306152343749943e+01, 1.42470037565556695e+00
 3.02870605468750043e+01, 1.51700098259770577e+00
 2.84568798828125011e+01, 1.61528137461427934e+00
 2.67400732421874991e+01, 1.71992895792850886e+00
 2.51285424804687487e+01, 1.83135623725460106e+00
 2.36141894531250003e+01, 1.95000244182802973e+00
 2.21970141601562467e+01, 2.07633525677977904e+00
 2.08608203125000031e+01, 2.21085266667935176e+00
 1.96056079101562482e+01, 2.35408491851353219e+00
 1.84232788085937536e+01, 2.50659661183863047e+00
 1.73219311523437547e+01, 2.66898892434528978e+00
 1.62853686523437524e+01, 2.84190198160868812e+00
 1.53054931640625007e+01, 3.02601738036532319e+00
 1.43904028320312491e+01, 3.22206087526273999e+00
 1.35319995117187517e+01, 3.43080523967299245e+00
 1.27221850585937482e+01, 3.65307331184667694e+00
 1.19690576171875023e+01, 3.88974123841504404e+00
 1.12564208984375007e+01, 4.14174192802556718e+00
 1.05842749023437506e+01, 4.41006872872467071e+00
 9.96071777343750142e+00, 4.69577934358327287e+00
 9.36955322265625057e+00, 5.00000000000000089e+00
