"amplitude","duration"
 nan, 1.00000000000000002e-02
 nan, 1.06478597782334906e-02
 nan, 1.13376917856922617e-02
 nan, 1.20722152342880879e-02
 nan, 1.28543255027353722e-02
 nan, 1.36871055496897032e-02
 nan, 1.45738380662977385e-02
 nan, 1.55180184160619832e-02
 nan, 1.65233684130273069e-02
 nan, 1.75938509926007215e-02
 nan, 1.87336858328346692e-02
 nan, 1.99473659877502825e-02
 nan, 2.12396755982669008e-02
 nan, 2.26157087505513485e-02
 nan, 2.40808895561239016e-02
 4.29672031249999964e+03, 2.56409935328734614e-02
 4.03678008056640647e+03, 2.73021703712628509e-02
 3.79073129394531270e+03, 2.90709681754647842e-02
 3.55896078124999985e+03, 3.09543592749837344e-02
 3.34303304931640650e+03, 3.29597677085088081e-02
 3.13858123291015545e+03, 3.50950984883350164e-02
 2.94723001220703190e+03, 3.73687687607085414e-02
 2.76646070312500024e+03, 3.97897409849256797e-02
 2.59844814208984371e+03, 4.23675582619718813e-02
 2.43962490966796759e+03, 4.51123819519614402e-02
 2.29102254882812485e+03, 4.80350317286596662e-02
 2.15054358886718774e+03, 5.11470282289765085e-02
 2.01896168701171860e+03, 5.44606384655492159e-02
 1.89540862792968755e+03, 5.79889241814237136e-02
 1.77978985351562505e+03, 6.17457933374413043e-02
 1.67131451416015602e+03, 6.57460549352858747e-02
 1.56822039062499971e+03, 7.00054773922959839e-02
 1.47281126220703140e+03, 7.45408506981462826e-02
 1.38268879150390626e+03, 7.93700525984099986e-02
 1.29787876708984390e+03, 8.45121190658886384e-02
 1.21742701171874978e+03, 8.99873193374955277e-02
 1.14343959228515610e+03, 9.58172358124771417e-02
 1.07309695800781265e+03, 1.02024849126918948e-01
 1.00694926513671862e+03, 1.08634628739886052e-01
 9.44927744140625009e+02, 1.15672629388276077e-01
 8.86301718750000077e+02, 1.23166593790593470e-01
 8.31664326171875018e+02, 1.31146062004488306e-01
 7.79915253906249973e+02, 1.39642487869130638e-01
 7.31561677246093723e+02, 1.48689362991417495e-01
 6.86156594238281286e+02, 1.58322348764747378e-01
 6.43424926757812500e+02, 1.68579416940760840e-01
 6.03048615722656223e+02, 1.79500999308158160e-01
 5.64735390625000036e+02, 1.91130147068605510e-01
 5.29181542968750023e+02, 2.03512700537965607e-01
 4.95630607910156300e+02, 2.16697469841788254e-01
 4.63919257812500007e+02, 2.30736427317334208e-01
 4.34305378417968768e+02, 2.45684912380553927e-01
 4.06221621093749945e+02, 2.61601849665571928e-01
 3.79977448730468723e+02, 2.78549981296552784e-01
 3.55134455566406359e+02, 2.96596114207525685e-01
 3.31890354003906282e+02, 3.15811383485065988e-01
 3.09866911621093664e+02, 3.36271532771890647e-01
 2.89098513183593695e+02, 3.58057212836674132e-01
 2.69576562500000023e+02, 3.81254299487001069e-01
 2.51378425292968700e+02, 4.05954232078622412e-01
 2.34375158691406284e+02, 4.32254373955362980e-01
 2.18136953124999991e+02, 4.60258396240480760e-01
 2.03128002929687455e+02, 4.90076686492326719e-01
 1.88987268066406273e+02, 5.21826783835159236e-01
 1.75749133300781295e+02, 5.55633842280333412e-01
 1.63293251953124980e+02, 5.91631124064209368e-01
 1.51825932617187505e+02, 6.29960524947436595e-01
 1.41054904785156282e+02, 6.70773133546266553e-01
 1.31014553222656218e+02, 7.14229826900693365e-01
 1.21661896972656265e+02, 7.60501904627056580e-01
 1.12885185546875007e+02, 8.09771764154839757e-01
 1.04778977050781236e+02, 8.62233619709349419e-01
 9.73174829101562580e+01, 9.18094267874385750e-01
 9.02600097656250000e+01, 9.77573902752639667e-01
 8.38730395507812432e+01, 1.04090698393705750e+00
 7.78557055664062432e+01, 1.10834316071457284e+00
 7.22853735351562534e+01, 1.18014825614528784e+00
 6.71362548828124943e+01, 1.25660531489618044e+00
 6.23739648437499881e+01, 1.33801571895974702e+00
 5.79899072265625009e+01, 1.42470037565556695e+00
 5.38895239257812477e+01, 1.51700098259770577e+00
 5.01501806640624892e+01, 1.61528137461427934e+00
 4.66601269531250082e+01, 1.71992895792850886e+00
 4.34537475585937543e+01, 1.83135623725460106e+00
 4.04794653320312534e+01, 1.95000244182802973e+00
 3.77114916992187474e+01, 2.07633525677977904e+00
 3.51842114257812497e+01, 2.21085266667935176e+00
 3.28030664062499966e+01, 2.35408491851353219e+00
 3.06540185546875001e+01, 2.50659661183863047e+00
 2.86425097656250003e+01, 2.66898892434528978e+00
 2.68029248046874997e+01, 2.84190198160868812e+00
 2.50750903320312446e+01, 3.02601738036532319e+00
 2.34933911132812518e+01, 3.22206087526273999e+00
 2.20320385742187526e+01, 3.43080523967299245e+00
 2.06738403320312472e+01, 3.65307331184667694e+00
 1.94187963867187499e+01, 3.88974123841504404e+00
 nan, 4.14174192802556718e+00
 1.71837866210937520e+01, 4.41006872872467071e+00
 1.62124169921874994e+01, 4.69577934358327287e+00
 1.53098168945312505e+01, 5.00000000000000089e+00
