"amplitude","duration"
 2.17078794433593748e+03, 1.00000000000000002e-02
 2.03871507568359380e+03, 1.06478597782334906e-02
 1.91467397460937445e+03, 1.13376917856922617e-02
 1.79819372314453108e+03, 1.20722152342880879e-02
 1.68878378173828128e+03, 1.28543255027353722e-02
 1.58603209716796914e+03, 1.36871055496897032e-02
 1.48953969726562491e+03, 1.45738380662977385e-02
 1.39892069091796861e+03, 1.55180184160619832e-02
 1.31381534912109396e+03, 1.65233684130273069e-02
 1.23387048339843750e+03, 1.75938509926007215e-02
 1.15881793212890602e+03, 1.87336858328346692e-02
 1.08831758789062496e+03, 1.99473659877502825e-02
 1.02209474853515621e+03, 2.12396755982669008e-02
 9.59913955078124900e+02, 2.26157087505513485e-02
 9.01520126953124873e+02, 2.40808895561239016e-02
 8.46677805175781259e+02, 2.56409935328734614e-02
 7.95164611816406250e+02, 2.73021703712628509e-02
 7.46790871582031286e+02, 2.90709681754647842e-02
 7.01366909179687354e+02, 3.09543592749837344e-02
 6.58696508789062591e+02, 3.29597677085088081e-02
 6.18622697753906323e+02, 3.50950984883350164e-02
 5.80995043945312318e+02, 3.73687687607085414e-02
 5.45650034179687509e+02, 3.97897409849256797e-02
 5.12456857910156259e+02, 4.23675582619718813e-02
 4.81284704589843727e+02, 4.51123819519614402e-02
 4.52009304199218718e+02, 4.80350317286596662e-02
 4.24512927246093682e+02, 5.11470282289765085e-02
 3.98690925292968814e+02, 5.44606384655492159e-02
 3.74445190429687500e+02, 5.79889241814237136e-02
 3.51664533691406291e+02, 6.17457933374413043e-02
 3.30277009277343723e+02, 6.57460549352858747e-02
 3.10191049804687509e+02, 7.00054773922959839e-02
 2.91321628417968668e+02, 7.45408506981462826e-02
 2.73609880371093709e+02, 7.93700525984099986e-02
 2.56970778808593650e+02, 8.45121190658886384e-02
 2.41338918457031241e+02, 8.99873193374955277e-02
 2.26668515624999998e+02, 9.58172358124771417e-02
 2.12881083984375010e+02, 1.02024849126918948e-01
 1.99937380371093752e+02, 1.08634628739886052e-01
 1.87785080566406236e+02, 1.15672629388276077e-01
 1.76365319824218773e+02, 1.23166593790593470e-01
 1.65645395507812509e+02, 1.31146062004488306e-01
 1.55572983398437515e+02, 1.39642487869130638e-01
 1.46121921386718725e+02, 1.48689362991417495e-01
 1.37239885253906209e+02, 1.58322348764747378e-01
 1.28894172363281257e+02, 1.68579416940760840e-01
 1.21065161132812491e+02, 1.79500999308158160e-01
 1.13707067871093727e+02, 1.91130147068605510e-01
 1.06800270996093744e+02, 2.03512700537965607e-01
 1.00312067871093745e+02, 2.16697469841788254e-01
 9.42162963867187528e+01, 2.30736427317334208e-01
 8.84933349609374886e+01, 2.45684912380553927e-01
 8.31170214843750159e+01, 2.61601849665571928e-01
 7.80742749023437739e+01, 2.78549981296552784e-01
 7.33323925781249955e+01, 2.96596114207525685e-01
 6.88782934570312477e+01, 3.15811383485065988e-01
 6.46988964843750125e+01, 3.36271532771890647e-01
 6.07745800781250054e+01, 3.58057212836674132e-01
 5.70857226562499989e+01, 3.81254299487001069e-01
 5.36192431640624960e+01, 4.05954232078622412e-01
 5.03686010742187591e+01, 4.32254373955362980e-01
 4.73141748046875108e+01, 4.60258396240480760e-01
 4.44494238281249991e+01, 4.90076686492326719e-01
 4.17547265624999966e+01, 5.21826783835159236e-01
 3.92235424804687511e+01, 5.55633842280333412e-01
 3.68493310546874966e+01, 5.91631124064209368e-01
 3.46124707031249912e+01, 6.29960524947436595e-01
 3.25195019531249940e+01, 6.70773133546266553e-01
 3.05508032226562491e+01, 7.14229826900693365e-01
 2.87063745117187494e+01, 7.60501904627056580e-01
 2.69665942382812460e+01, 8.09771764154839757e-01
 2.53380029296875016e+01, 8.62233619709349419e-01
 2.38075195312500014e+01, 9.18094267874385750e-01
 2.23686035156249972e+01, 9.77573902752639667e-01
 2.10212548828124994e+01, 1.04090698393705750e+00
 1.97523925781250043e+01, 1.10834316071457284e+00
 1.85620166015625010e+01, 1.18014825614528784e+00
 1.74435864257812483e+01, 1.25660531489618044e+00
 1.63905615234375013e+01, 1.33801571895974702e+00
 1.54029418945312511e+01, 1.42470037565556695e+00
 1.44807275390624994e+01, 1.51700098259770577e+00
 1.36108374023437495e+01, 1.61528137461427934e+00
 1.27932714843750013e+01, 1.71992895792850886e+00
 1.20214892578125010e+01, 1.83135623725460106e+00
 1.13020312499999989e+01, 1.95000244182802973e+00
 1.06283569335937500e+01, 2.07633525677977904e+00
 9.99392578125000064e+00, 2.21085266667935176e+00
 9.39219726562500057e+00, 2.35408491851353219e+00
 8.83625244140624844e+00, 2.50659661183863047e+00
 8.30646972656250071e+00, 2.66898892434528978e+00
 7.81593017578125071e+00, 2.84190198160868812e+00
 7.35155273437499890e+00, 3.02601738036532319e+00
 6.91333740234374972e+00, 3.22206087526273999e+00
 6.50782470703125071e+00, 3.43080523967299245e+00
 6.12193359375000057e+00, 3.65307331184667694e+00
 5.76220458984374950e+00, 3.88974123841504404e+00
 5.42209716796874908e+00, 4.14174192802556718e+00
 5.10815185546874950e+00, 4.41006872872467071e+00
 4.80728759765625036e+00, 4.69577934358327287e+00
 4.52604492187499918e+00, 5.00000000000000089e+00
