"amplitude","duration"
 2.77941017578124956e+03, 1.00000000000000002e-02
 2.61030484130859350e+03, 1.06478597782334906e-02
 2.45150083740234368e+03, 1.13376917856922617e-02
 2.30234411132812420e+03, 1.20722152342880879e-02
 2.16227217773437405e+03, 1.28543255027353722e-02
 2.03072255126953110e+03, 1.36871055496897032e-02
 1.90716544921874993e+03, 1.45738380662977385e-02
 1.79113649414062456e+03, 1.55180184160619832e-02
 1.68216476806640617e+03, 1.65233684130273069e-02
 1.57982513671874995e+03, 1.75938509926007215e-02
 1.48371208740234351e+03, 1.87336858328346692e-02
 1.39344626953124998e+03, 1.99473659877502825e-02
 1.30867449462890613e+03, 2.12396755982669008e-02
 1.22905665527343763e+03, 2.26157087505513485e-02
 1.15428534667968734e+03, 2.40808895561239016e-02
 1.08406624511718746e+03, 2.56409935328734614e-02
 1.01811810791015637e+03, 2.73021703712628509e-02
 9.56179313964843459e+02, 2.90709681754647842e-02
 8.98007863769531241e+02, 3.09543592749837344e-02
 8.43374838867187464e+02, 3.29597677085088081e-02
 7.92077482910156505e+02, 3.50950984883350164e-02
 7.43886877441406114e+02, 3.73687687607085414e-02
 6.98639509277343677e+02, 3.97897409849256797e-02
 6.56139162597656195e+02, 4.23675582619718813e-02
 6.16228864746093905e+02, 4.51123819519614402e-02
 5.78745102539062373e+02, 4.80350317286596662e-02
 5.43543984375000036e+02, 5.11470282289765085e-02
 5.10481618652343741e+02, 5.44606384655492159e-02
 4.79433735351562405e+02, 5.79889241814237136e-02
 4.50269523925781186e+02, 6.17457933374413043e-02
 4.22884335937500055e+02, 6.57460549352858747e-02
 3.97166982421874991e+02, 7.00054773922959839e-02
 3.73012814941406305e+02, 7.45408506981462826e-02
 3.50330266113281255e+02, 7.93700525984099986e-02
 3.29021228027343795e+02, 8.45121190658886384e-02
 3.09013754882812577e+02, 8.99873193374955277e-02
 2.90222819824218618e+02, 9.58172358124771417e-02
 2.72576477050781250e+02, 1.02024849126918948e-01
 2.56002780761718725e+02, 1.08634628739886052e-01
 2.40442866210937495e+02, 1.15672629388276077e-01
 2.25824787597656211e+02, 1.23166593790593470e-01
 2.12096220703124970e+02, 1.31146062004488306e-01
 1.99198300781249998e+02, 1.39642487869130638e-01
 1.87091784667968739e+02, 1.48689362991417495e-01
 1.75724348144531234e+02, 1.58322348764747378e-01
 1.65043666992187497e+02, 1.68579416940760840e-01
 1.55010498046875000e+02, 1.79500999308158160e-01
 1.45592138671874977e+02, 1.91130147068605510e-01
 1.36749345703124959e+02, 2.03512700537965607e-01
 1.28442875976562476e+02, 2.16697469841788254e-01
 1.20640026855468733e+02, 2.30736427317334208e-01
 1.13308095703124991e+02, 2.45684912380553927e-01
 1.06427460937500001e+02, 2.61601849665571928e-01
 9.99654199218750108e+01, 2.78549981296552784e-01
 9.38958105468749977e+01, 2.96596114207525685e-01
 8.81990112304687557e+01, 3.15811383485065988e-01
 8.28423193359375034e+01, 3.36271532771890647e-01
 7.78191943359375102e+01, 3.58057212836674132e-01
 7.30969335937499949e+01, 3.81254299487001069e-01
 6.86624560546874960e+01, 4.05954232078622412e-01
 6.44961401367187506e+01, 4.32254373955362980e-01
 6.05849047851562474e+01, 4.60258396240480760e-01
 5.69156689453124898e+01, 4.90076686492326719e-01
 5.34622705078124909e+01, 5.21826783835159236e-01
 5.02247094726562509e+01, 5.55633842280333412e-01
 4.71833642578124994e+01, 5.91631124064209368e-01
 4.43251538085937469e+01, 6.29960524947436595e-01
 4.16435375976562483e+01, 6.70773133546266553e-01
 3.91188940429687548e+01, 7.14229826900693365e-01
 3.67577636718750043e+01, 7.60501904627056580e-01
 3.45339843749999957e+01, 8.09771764154839757e-01
 3.24475561523437506e+01, 8.62233619709349419e-01
 3.04853979492187506e+01, 9.18094267874385750e-01
 2.86409692382812437e+01, 9.77573902752639667e-01
 2.69142700195312479e+01, 1.04090698393705750e+00
 2.52922192382812483e+01, 1.10834316071457284e+00
 2.37682763671875037e+01, 1.18014825614528784e+00
 2.23359008789062443e+01, 1.25660531489618044e+00
 2.09885522460937537e+01, 1.33801571895974702e+00
 1.97262304687500034e+01, 1.42470037565556695e+00
 1.85423950195312486e+01, 1.51700098259770577e+00
 1.74239648437499994e+01, 1.61528137461427934e+00
 1.63774804687500009e+01, 1.71992895792850886e+00
 1.53964013671875009e+01, 1.83135623725460106e+00
 1.44741870117187492e+01, 1.95000244182802973e+00
 1.36108374023437495e+01, 2.07633525677977904e+00
 1.27932714843750013e+01, 2.21085266667935176e+00
 1.20345703125000014e+01, 2.35408491851353219e+00
 1.13151123046874993e+01, 2.50659661183863047e+00
 1.06414379882812486e+01, 2.66898892434528978e+00
 1.00070068359374993e+01, 2.84190198160868812e+00
 9.41181884765625121e+00, 3.02601738036532319e+00
 8.85587402343749730e+00, 3.22206087526273999e+00
 8.33263183593749801e+00, 3.43080523967299245e+00
 7.84209228515624979e+00, 3.65307331184667694e+00
 7.37771484374999886e+00, 3.88974123841504404e+00
 6.94604003906249901e+00, 4.14174192802556718e+00
 6.54052734375000000e+00, 4.41006872872467071e+00
 6.15463623046874986e+00, 4.69577934358327287e+00
 5.79490722656249879e+00, 5.00000000000000089e+00
