"ts","vs"
 1.34000000000000000e+03, 0.00000000000000000e+00
 1.37250000000000000e+03, 0.00000000000000000e+00
 1.38062500000000000e+03, 0.00000000000000000e+00
 1.38468750000000000e+03, 0.00000000000000000e+00
 1.38671875000000000e+03, 0.00000000000000000e+00
 1.38678222656250000e+03, 0.00000000000000000e+00
 1.38684570312500000e+03, 5.26602273037302595e+01
 1.38697265625000000e+03, 6.21101604867841388e+01
 1.38722656250000000e+03, 5.47514708822114926e+01
 1.38773437500000000e+03, 5.12894896957940531e+01
 1.38875000000000000e+03, 4.78793447306203603e+01
 1.40500000000000000e+03, 4.70900665695293910e+01
 1.47000000000000000e+03, 6.38447981288263975e+01
 1.73000000000000000e+03, 7.85284771437707860e+01
