"ts","vs"
 1.50000000000000000e+03, 0.00000000000000000e+00
 1.50048828125000000e+03, 0.00000000000000000e+00
 1.50073242187500000e+03, 0.00000000000000000e+00
 1.50085449218750000e+03, 0.00000000000000000e+00
 1.50091552734375000e+03, 9.24386450191353788e+01
 1.50097656250000000e+03, 7.97984971195968598e+01
 1.50195312500000000e+03, 6.30591731472962778e+01
 1.50390625000000000e+03, 6.41734893341615447e+01
 1.50781250000000000e+03, 5.60060334819222376e+01
 1.51562500000000000e+03, 4.84557405386894544e+01
 1.53125000000000000e+03, 4.14833543510929417e+01
 1.56250000000000000e+03, 4.28414787567401163e+01
 1.62500000000000000e+03, 5.31337929986932522e+01
 1.75000000000000000e+03, 6.62655497405472431e+01
