"ts","vs"
 1.23750000000000000e+03, 3.79180149675734270e+01
 1.23960937500000000e+03, 3.98110076803983759e+01
 1.23974121093750000e+03, 3.99177603011138942e+01
 1.23980712890625000e+03, 3.99710579021119727e+01
 1.23987304687500000e+03, 4.00242979417855125e+01
 1.24013671875000000e+03, 4.02347266544256144e+01
 1.24066406250000000e+03, 4.06528577455247841e+01
 1.24171875000000000e+03, 4.14636219853951928e+01
 1.24593750000000000e+03, 4.45748456534352684e+01
 1.25437500000000000e+03, 5.03337477858314770e+01
 1.27125000000000000e+03, 5.92851558531357909e+01
 1.30500000000000000e+03, 6.78959060733748743e+01
 1.44000000000000000e+03, 7.40251351735639815e+01
 1.71000000000000000e+03, 7.47882103903834121e+01
