"ts","vs"
 1.19062500000000000e+03, 0.00000000000000000e+00
 1.20828125000000000e+03, 0.00000000000000000e+00
 1.21710937500000000e+03, 3.96313148504879038e+01
 1.21738525390625000e+03, 3.99481926955961768e+01
 1.21745422363281250e+03, 4.00190759441086641e+01
 1.21752319335937500e+03, 4.00874611811171917e+01
 1.21766113281250000e+03, 4.02136005881365222e+01
 1.21821289062500000e+03, 4.06659902062542216e+01
 1.21931640625000000e+03, 4.14801000046598176e+01
 1.22152343750000000e+03, 4.30215969078049909e+01
 1.22593750000000000e+03, 4.61453965600315144e+01
 1.26125000000000000e+03, 6.51888071105408073e+01
 1.40250000000000000e+03, 7.81887661627676493e+01
 1.68500000000000000e+03, 7.96348608698671541e+01
