"ts","vs"
 1.25625000000000000e+03, 0.00000000000000000e+00
 1.28937500000000000e+03, 0.00000000000000000e+00
 1.30593750000000000e+03, 0.00000000000000000e+00
 1.31421875000000000e+03, 0.00000000000000000e+00
 1.31473632812500000e+03, 0.00000000000000000e+00
 1.31499511718750000e+03, 0.00000000000000000e+00
 1.31512451171875000e+03, 0.00000000000000000e+00
 1.31518920898437500e+03, 0.00000000000000000e+00
 1.31525390625000000e+03, 6.18277904705495374e+01
 1.31628906250000000e+03, 5.21828200487074696e+01
 1.31835937500000000e+03, 5.12822651251249724e+01
 1.32250000000000000e+03, 5.26147178111992844e+01
 1.45500000000000000e+03, 7.87950072808432651e+01
 1.72000000000000000e+03, 7.97938197210537368e+01
