"ts","vs"
 1.30312500000000000e+03, 0.00000000000000000e+00
 1.33468750000000000e+03, 0.00000000000000000e+00
 1.35046875000000000e+03, 3.96482961611205269e+01
 1.35145507812500000e+03, 3.98749762051690624e+01
 1.35194824218750000e+03, 3.99956994974279425e+01
 1.35200988769531250e+03, 4.00138814766257909e+01
 1.35207153320312500e+03, 4.00325897192370093e+01
 1.35219482421875000e+03, 4.00663235819062677e+01
 1.35244140625000000e+03, 4.01353722484321125e+01
 1.35441406250000000e+03, 4.07212695058770962e+01
 1.35835937500000000e+03, 4.20778220293680150e+01
 1.36625000000000000e+03, 4.51119099558013943e+01
 1.49250000000000000e+03, 7.47803977368664476e+01
 1.74500000000000000e+03, 7.98678599595204588e+01
